pickup_datetime,dropoff_datetime,trip_distance,tip_amount,pickup_longitude,pickup_latitude,dropoff_longitude,dropoff_latitude,Distance
2021-07-18 19:18:15,2021-07-18 19:39:18,5.23,4.56,-74.01607915192926,40.71203815707448,-73.98764554944388,40.775965228760995,7.501116651817978
2021-07-05 16:22:03,2021-07-05 16:32:24,2.5,0.0,,,-73.95129200243511,40.80433394979461,
2021-07-30 14:35:23,2021-07-30 15:28:09,10.36,13.15,-73.87362864289112,40.77437570593249,-73.99691854183823,40.72088889344526,11.96833383149664
2021-07-30 23:36:56,2021-07-30 23:44:15,2.13,3.69,-73.97659767323343,40.73182063601676,-73.96514579918421,40.75672894163307,2.9328947590565835
2021-07-27 21:41:51,2021-07-27 21:45:16,0.93,0.9,-73.95701169835739,40.78043643718997,-73.97863194845081,40.783961430313774,1.8620719129583763
2021-07-29 11:11:57,2021-07-29 11:41:25,3.2,4.45,-73.99243753697608,40.748497181405,-73.95701169835739,40.78043643718997,4.638371144167681
2021-07-27 07:14:53,2021-07-27 07:20:21,1.08,1.67,-73.99243753697608,40.748497181405,-73.97769793122406,40.75802804352625,1.632367746099724
2021-07-22 22:28:55,2021-07-22 22:46:34,3.6,2.67,-73.98878659911529,40.75351275872571,-73.96816833309238,40.79796199310004,5.23859091477427
2021-07-08 05:33:51,2021-07-08 05:57:10,6.7,8.15,-74.00287495910834,40.73457600733175,-73.94575026755157,40.79001075149546,7.819384344218586
2021-07-24 15:54:12,2021-07-24 16:22:57,7.0,0.0,-74.01151502922326,40.70335790323615,-73.9841964890757,40.75981761719185,6.686729783191088
2021-07-27 15:50:15,2021-07-27 16:35:21,19.38,8.48,-73.78653298334973,40.64698489239515,-73.94651035601464,40.77593240314994,19.682528025002078
2021-07-27 18:23:07,2021-07-27 18:34:31,1.62,0.0,-73.98878659911529,40.75351275872571,-73.96563453538072,40.76861518381155,2.5733978770593717
2021-07-21 10:37:17,2021-07-21 10:41:33,0.7,0.0,-73.98515639467682,40.74857462935672,-73.97769793122406,40.75802804352625,1.224606182859296
2021-07-26 12:29:35,2021-07-26 13:19:50,18.8,5.0,-73.94575026755157,40.79001075149546,-73.78653298334973,40.64698489239515,20.808227943577485
2021-07-13 08:25:12,2021-07-13 08:36:33,1.1,0.0,-73.96514579918421,40.75672894163307,-73.97769793122406,40.75802804352625,1.067064306661421
2021-07-20 17:12:01,2021-07-20 17:29:02,1.5,0.0,-73.94077166756264,40.818257861119235,-73.96176359682917,40.809456961125264,2.0195505952228197
2021-07-22 15:31:31,2021-07-22 15:43:21,1.15,2.36,-73.96563453538072,40.76861518381155,-73.97769793122406,40.75802804352625,1.5550277687904244
2021-07-28 07:09:37,2021-07-28 07:14:36,0.89,1.76,-73.99430477051166,40.732579073027026,-73.99045782354732,40.74033744175701,0.9215702479903615
2021-07-06 13:14:06,2021-07-06 13:18:19,0.48,0.0,-73.97756868222716,40.764421405786784,-73.9723559435203,40.75668765218883,0.9655440531462192
2021-07-02 00:49:00,2021-07-02 00:53:51,1.18,0.0,-73.99045782354732,40.74033744175701,-73.99691854183823,40.72088889344526,2.230048245195128
2021-07-06 11:55:29,2021-07-06 11:57:20,0.63,1.1,-73.9596347414917,40.76694821638323,-73.9596347414917,40.76694821638323,0.0
2021-07-28 07:17:44,2021-07-28 07:33:43,1.71,0.0,-73.98878659911529,40.75351275872571,-73.97649472376759,40.740438978596416,1.7848188218649697
2021-07-13 10:32:50,2021-07-13 10:56:03,3.1,0.0,-73.9841964890757,40.75981761719185,-74.00153756565634,40.72388811004171,4.253917857548715
2021-07-28 17:54:07,2021-07-28 18:03:55,1.44,2.46,-73.99045782354732,40.74033744175701,-73.97044256869235,40.74991407790216,1.9942613153596456
2021-07-14 09:23:58,2021-07-14 09:34:46,1.5,2.35,-73.97849159965224,40.7477457936439,-73.99991742024712,40.74842755506572,1.8064983038209745
2021-07-16 11:22:53,2021-07-16 11:43:59,3.48,0.0,-73.99815149899047,40.71245931177948,-73.99697141558364,40.74227862901228,3.317247595509344
2021-07-03 10:50:14,2021-07-03 10:52:46,0.5,1.45,-73.98984464313301,40.762252755319366,-73.98984464313301,40.762252755319366,0.0
2021-07-30 18:09:20,2021-07-30 18:20:36,1.82,3.45,-73.99513522075517,40.76623772504186,-74.0040151252865,40.75330906598335,1.6205143598529026
2021-07-15 00:01:00,2021-07-15 00:11:00,2.1,3.5,-74.00287495910834,40.73457600733175,-73.97649472376759,40.740438978596416,2.316258454154319
2021-07-27 19:05:49,2021-07-27 19:14:51,1.56,2.46,-74.0040151252865,40.75330906598335,-73.99243753697608,40.748497181405,1.1123864341705836
2021-07-22 05:01:19,2021-07-22 05:03:56,0.38,0.0,-73.97649472376759,40.740438978596416,-73.98515639467682,40.74857462935672,1.1622549114157819
2021-07-15 10:42:21,2021-07-15 10:58:11,2.82,0.0,-73.97044256869235,40.74991407790216,-73.94651035601464,40.77593240314994,3.5260011856628592
2021-07-08 17:18:00,2021-07-08 17:32:20,1.21,0.0,-73.9723559435203,40.75668765218883,-73.97756868222716,40.764421405786784,0.9655440531462192
2021-07-28 23:04:37,2021-07-28 23:14:41,3.68,3.16,-73.98405213268919,40.73682405761897,-73.951009874818,40.77876585543437,5.43099434982827
2021-07-17 22:58:10,2021-07-17 23:11:44,2.6,3.06,-73.98593745682462,40.727620195909545,-73.98878659911529,40.75351275872571,2.8891105412148574
2021-07-14 09:30:20,2021-07-14 09:54:33,4.3,5.55,-73.99991742024712,40.74842755506572,-74.00749598562427,40.70680845166585,4.671687768830727
2021-07-02 20:24:20,2021-07-02 20:38:09,1.3,2.75,-73.99991742024712,40.74842755506572,-73.97849159965224,40.7477457936439,1.8064983038209745
2021-07-27 17:41:23,2021-07-27 17:51:04,1.75,2.56,-73.99045782354732,40.74033744175701,-73.99691854183823,40.72088889344526,2.230048245195128
2021-07-25 19:00:40,2021-07-25 19:34:58,12.73,0.0,-73.93283148761297,40.85710828331443,-73.99691854183823,40.72088889344526,16.07913488206846
2021-07-28 08:47:50,2021-07-28 09:02:29,2.29,2.96,-73.97863194845081,40.783961430313774,-73.98515639467682,40.74857462935672,3.9730118913231416
2021-07-22 18:23:13,2021-07-22 18:32:23,1.64,2.56,-74.01607915192926,40.71203815707448,-74.00287495910834,40.73457600733175,2.7420220479694404
2021-07-15 17:01:50,2021-07-15 17:24:53,3.6,2.0,-73.94651035601464,40.77593240314994,-73.99513522075517,40.76623772504186,4.234254779060363
2021-07-07 14:56:43,2021-07-07 15:05:10,0.9,2.05,-74.00287495910834,40.73457600733175,-74.00787970866403,40.717772736265175,1.9154439074408962
2021-07-24 23:32:52,2021-07-24 23:43:16,2.67,3.58,-74.00287495910834,40.73457600733175,-73.98984464313301,40.762252755319366,3.2674091440103505
2021-07-14 11:45:36,2021-07-14 12:02:25,1.75,1.0,-74.00287495910834,40.73457600733175,-73.97849159965224,40.7477457936439,2.52279699663012
2021-07-11 12:03:11,2021-07-11 12:08:12,0.64,0.0,-73.98878659911529,40.75351275872571,-73.98878659911529,40.75351275872571,0.0
